,State,District,Latitude,Longitude,Month,Irradiance,Temperature
0,bihar,Araria,26.15,87.35,jan,3.51,17
1,bihar,Araria,26.15,87.35,feb,4.75,21
2,bihar,Araria,26.15,87.35,mar,6.12,24
3,bihar,Araria,26.15,87.35,apr,6.51,27
4,bihar,Araria,26.15,87.35,may,6.56,28
5,bihar,Araria,26.15,87.35,jun,5.43,29
6,bihar,Araria,26.15,87.35,jul,4.85,30
7,bihar,Araria,26.15,87.35,aug,5.05,29
8,bihar,Araria,26.15,87.35,sep,4.89,29
9,bihar,Araria,26.15,87.35,oct,4.91,27
10,bihar,Araria,26.15,87.35,nov,4.41,23
11,bihar,Araria,26.15,87.35,dec,3.73,19
12,bihar,Aurangabad,24.75,84.35,jan,4.01,22
13,bihar,Aurangabad,24.75,84.35,feb,5.15,24
14,bihar,Aurangabad,24.75,84.35,mar,6.30,28
15,bihar,Aurangabad,24.75,84.35,apr,6.94,31
16,bihar,Aurangabad,24.75,84.35,may,7.14,33
17,bihar,Aurangabad,24.75,84.35,jun,6.07,29
18,bihar,Aurangabad,24.75,84.35,jul,5.10,26
19,bihar,Aurangabad,24.75,84.35,aug,5.26,26
20,bihar,Aurangabad,24.75,84.35,sep,5.32,26
21,bihar,Aurangabad,24.75,84.35,oct,5.25,26
22,bihar,Aurangabad,24.75,84.35,nov,4.67,24
23,bihar,Aurangabad,24.75,84.35,dec,3.90,22
24,bihar,Banka,24.75,86.85,jan,4.08,16
25,bihar,Banka,24.75,86.85,feb,5.14,20
26,bihar,Banka,24.75,86.85,mar,6.17,25
27,bihar,Banka,24.75,86.85,apr,6.83,31
28,bihar,Banka,24.75,86.85,may,6.76,33
29,bihar,Banka,24.75,86.85,jun,5.67,33
30,bihar,Banka,24.75,86.85,jul,4.80,30
31,bihar,Banka,24.75,86.85,aug,5.17,29
32,bihar,Banka,24.75,86.85,sep,5.03,29
33,bihar,Banka,24.75,86.85,oct,4.86,26
34,bihar,Banka,24.75,86.85,nov,4.60,22
35,bihar,Banka,24.75,86.85,dec,3.93,17
36,bihar,Begusarai,25.45,86.15,jan,3.57,16
37,bihar,Begusarai,25.45,86.15,feb,4.91,20
38,bihar,Begusarai,25.45,86.15,mar,6.24,25
39,bihar,Begusarai,25.45,86.15,apr,6.94,30
40,bihar,Begusarai,25.45,86.15,may,6.86,32
41,bihar,Begusarai,25.45,86.15,jun,5.80,32
